Location,Price,Number of bedrooms,Living area,Surface area land,Property subtype_FARMHOUSE,Property subtype_HOUSE,Property subtype_MANSION,Property subtype_MIXED_USE_BUILDING,Property subtype_VILLA,Kitchen equipped,Open fireplace,Terrace,Garden,Pool,Condition
Eeklo,249000.0,3.0,160.0,107.0,0,1,0,0,0,1,0,1,0,0,0
Zele,169000.0,2.0,112.0,293.0,0,1,0,0,0,1,0,1,0,0,1
Jette,1499000.0,5.0,647.0,951.0,0,0,0,0,1,1,1,0,0,0,0
Puurs-Sint-Amands,240000.0,4.0,170.0,310.0,0,1,0,0,0,0,0,1,1,0,1
SINT-NIKLAAS,307000.0,3.0,160.0,150.0,0,1,0,0,0,0,0,0,1,0,1
Brecht,735000.0,5.0,330.0,3600.0,0,0,0,0,1,1,0,1,0,0,0
Drogenbos,455000.0,5.0,260.0,177.0,0,1,0,0,0,1,1,1,1,0,0
Lier,455000.0,2.0,176.0,346.0,0,1,0,0,0,1,0,1,1,0,1
Lier,485000.0,3.0,210.0,468.0,0,1,0,0,0,1,0,1,1,0,1
MILMORT,549000.0,3.0,138.0,1100.0,0,1,0,0,0,0,0,1,1,1,0
Lokeren,210000.0,2.0,150.0,136.0,0,1,0,0,0,1,0,1,0,0,0
Sint-Niklaas,289000.0,3.0,150.0,146.0,0,1,0,0,0,1,0,0,0,0,0
Gent,419000.0,3.0,145.0,90.0,0,1,0,0,0,0,0,0,1,0,1
Gent,465000.0,3.0,145.0,138.0,0,1,0,0,0,0,0,0,1,0,1
Huy,379000.0,3.0,155.0,290.0,0,0,1,0,0,1,0,1,1,1,0
Oostende,280000.0,3.0,250.0,0.0,0,1,0,0,0,1,0,1,1,0,0
